response_ID;Stadsdeel;Contact_gehad;freqcontact;Categorie_contact;Totstand;polben_Controlestraat;polben_Controleverkeer;polben_Verkeerdstraat;polben_Verkeerdverkeer;polben_Praatje;polben_Anders;polben_geenantwoord;Polben_hulp;Polben_thuis;Polben_uiterlijk;Polben_overig;Polben_bevragen;Polben_verdacht;Polben_locatie;Polben_aansprekenvriend;Polben_informatiegeven;Polben_teruggeven;Polben_verkeersongeval;Polben_arrestatie;stel_terecht;Onterecht_niksverkeerd;Onterecht_etniciteit;Onterecht_onschuldig;Onterecht_niksverkeerdverkeer;Onterecht_nietenige;Onterecht_Overig;Onterecht_onterecht;Onterecht_onduidelijk;Onterecht_overlast;Onterecht_nietingevuld;Onterecht_onbeleefdagent;stel_achtergrond;polben_gevolg_niets;polben_gevolg_waarschuwing;polben_gevolg_arrestatie;polben_gevolg_bekeuring;polben_gevolg_anders;polben_gevolg_nvt;polben_gevolg_geenantwoord;polben_gevolg_praatjemaken;polben_gevolg_controle;polben_gevolg_info;polben_gevolg_weggerend;polben_gevolg_staande;polben_gevolg_beslag;pobent_gevolg_overig;pobent_gevolg_hulp;waarom_zelfben;stel_beleefd;stel_luisteren;stel_rechtvaardig;rapportcijfer;Geslacht;Leeftijd;Leeftijdscategorie;Herkomst_def;opleidingnu_nee;opleidingnu_LBO_VMBO;opleidingnu_MAVO_VMBO_ULO_MULO;opleidingnu_HAVO_VWO_HBS_MMS;opleidingnu_MBO_BOL_BBL;opleidingnu_HBO;opleidingnu_WO;opleidingnu_anders;opleidingnu_nietzeggen;opleidingnu_geenantwoord;hoogstafgerond;stel_rondkomen
50065467;2;1;2;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;0;0;99999;1;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;2;6;1;25;2,00;2,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;6;6
50158338;7;1;3;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;99999;99999;0;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;4;9;2;24;2,00;3,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;4;5
50619784;1;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;4;9;2;24;2,00;1,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;5;5
50648552;5;1;2;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;8;4;24;2,00;8,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;6;1
50796953;7;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;4;3;7;1;24;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;3
50153812;3;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;3;3;6;2;23;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;4
50660296;5;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;1;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;4;8;2;22;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;7;5
49900826;4;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;8;2;22;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;5
50691140;3;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;9;2;22;2,00;6,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;7;5
50632806;2;1;5;3;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;99999;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;99999;0;0;0;1;99999;99999;99999;99999;99999;99999;99999;99999;6;1;1;1;1;1;21;2,00;3,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;3;5
